name,isomeric,target_class,therapeutic_area,trial_phase,company,Edward Score V20,Rationale V20,metabolic_stability_estimate,potential_toxic_fragments,P1 Prob V20,P1 Rationale V20,P2 Prob V20,P2 Rationale V20,P3 Prob V20,P3 Rationale V20,TCSP V20
Ambroxol,NC1=C(CNC2CCC(O)CC2)C=C(Br)C=C1Br,GCase (GBA1) Chaperone / Lysosomal,GBA-PD (disease modifying),Ph. II Completed,Fondazione I.R.C.C.S.,25,"A highly efficient, low-MW (MW < 400) scaffold with excellent CNS MPO properties. The TPSA (~58 Å²) and low rotatable bond count (2) provide a strong entropic advantage for BBB penetration. The basic secondary amine (pKa ~9.5) is a deliberate and highly effective feature for lysosomotropism, ensuring accumulation in the acidic lysosomal compartment where the GCase target resides. The primary aniline initially screams 'bioactivation risk' (N-oxidation to reactive nitroso species); however, the strategic placement of two electron-withdrawing, sterically demanding bromine atoms at the ortho and para positions is a classic MedChem maneuver. This significantly deactivates the nitrogen, lowering its pKa, and physically blocks the primary sites of CYP-mediated aromatic hydroxylation. The HBD count of 4 is slightly high for an ideal CNS asset but is entirely offset by the low MW and optimal cLogP (~2.5-3.0). The hERG risk is minimal as the spacer between the basic center and the lipophilic cluster is too short (1 methylene) to fit the classic pharmacophore. Clearance will likely be driven by Phase II glucuronidation of the cyclohexanol. Tox Summary: Clean, with effectively mitigated aniline risk.",High,Primary aniline (bioactivation risk heavily mitigated by ortho/para dibromo substitution),0.85,"Excellent physicochemical properties and low MW. The primary aniline is deactivated, minimizing acute toxicity and reactive metabolite formation.",0.65,"High probability of BBB penetration and excellent lysosomal trapping due to the basic secondary amine, ensuring high local concentration at the target site.",0.35,"Chronic administration in a neurodegenerative indication (GBA-PD) requires pristine safety. While the aniline is deactivated, long-term idiosyncratic toxicity remains a non-zero residual risk.",0.193375
Blarcamesine (ANAVEX2-73),CN(C)CC1CCOC1(C1=CC=CC=C1)C1=CC=CC=C1,sigma-1R Agonist,Alzheimer's Disease,Ph. IIb/III Completed,Anavex Life Sciences,68,"At first glance, this molecule boasts an excellent molecular weight (<300 Da) and zero hydrogen bond donors, guaranteeing effortless BBB penetration for its CNS indication. However, the physicochemical profile is severely unbalanced and relies heavily on 'grease'. A TPSA of approximately 12 Å² combined with a highly lipophilic gem-diphenyl motif and a basic dimethylamine (pKa ~9) creates a classic 'greasy basic' trap. This specific topology—a strong basic center linked via a rigidified tetrahydrofuran spacer to a massive hydrophobic cluster—is a textbook hERG pharmacophore. Furthermore, the extremely low polar surface area ensures massive non-specific binding, a high volume of distribution, and rampant off-target promiscuity across biogenic amine GPCRs (dopaminergic, serotonergic, adrenergic). While it will undoubtedly reach the brain, it will light up the off-target panel and carry significant cardiac liabilities. The LipE is likely poor, as affinity is driven by lipophilic bulk rather than directional polar contacts. Tox Summary: Not Clean (High hERG and GPCR promiscuity risk).",Low,"['gem-diphenyl motif (lipophilic bulk driving hERG and phospholipidosis risk)', 'dimethylamine (rapid N-demethylation liability)']",0.4,"High risk of QTc prolongation due to the classic hERG pharmacophore (basic amine + lipophilic bulk). Phase 1 will be heavily scrutinized for cardiac and off-target CNS adverse events, which are highly probable given the low TPSA.",0.25,"Demonstrating clear efficacy in Alzheimer's is statistically brutal. The rampant GPCR promiscuity will likely cause dose-limiting side effects (sedation, delirium, or cardiovascular events) before optimal target engagement is reached.",0.1,"Chronic administration in an elderly, frail Alzheimer's population with a molecule possessing inherent cardiac liabilities and a high volume of distribution presents an extreme attrition risk.",0.01
DNL343,O=C(COC1=CC=C(Cl)C=C1)NC12CC(C3=NN=C(C4CC(OC(F)(F)F)C4)O3)(C1)C2,eIF2B Activator,ALS (ISR Modulation),Ph. II/III Completed,Denali (HEALY Platform),25,"A masterclass in modern bioisosteric replacement, but pushing the upper boundaries of CNS physicochemical space. The incorporation of the bicyclo[1.1.1]pentane (BCP) core is excellent, providing rigid, linear vectorality while avoiding the metabolic and lipophilic penalties of a standard phenyl or tert-butyl ring. The 1,3,4-oxadiazole serves as a metabolically stable hydrogen bond acceptor that keeps TPSA in check. Metabolic hotspots are ruthlessly capped: the para-chloro group blocks phenyl oxidation, and the strongly electron-withdrawing trifluoromethoxy group deactivates the cyclobutane ring against CYP450 attack. However, the 'grease tax' is evident. The heavy reliance on halogens (Cl, CF3) pushes the cLogP towards 4.5 and the MW to ~471 g/mol, which is borderline for optimal CNS MPO and risks high non-specific binding (lowering the free fraction in the brain). The phenoxyacetamide linker is the only notable soft spot, potentially susceptible to amidases or ether cleavage, though it is sterically shielded by the bulky BCP group. Crucially, there is zero hERG liability due to the complete absence of a basic amine. Tox Summary: Clean.",High,None significant; phenoxyacetamide linker presents a minor hydrolysis/O-dealkylation risk.,0.85,Absence of basic amines completely eliminates hERG risk. Halogen-capped aromatic and aliphatic systems prevent reactive metabolite formation. Excellent Phase 1 safety profile expected.,0.45,"TPSA (~86 A^2) and HBD (1) are perfectly tuned for blood-brain barrier penetration. However, high lipophilicity may lead to high non-specific brain tissue binding, reducing the pharmacologically active free drug concentration at the eIF2B target.",0.2,"Chemically, chronic toxicity risks are low due to the lack of structural alerts and high metabolic stability. The primary attrition risk is the notoriously difficult ALS clinical landscape and translating ISR modulation into long-term functional outcomes.",0.0765
Deferiprone,CC1=C(O)C(=O)C=CN1C,Iron Chelator,Parkinson's Disease,Ph. II Completed,University Hospital Lille,45,"This is a fragment-sized bidentate chelator (3-hydroxy-4-pyridinone motif) with extreme ligand efficiency for metal coordination. Physicochemical properties are highly atypical for a CNS drug: MW is exceptionally low (<150 Da) and TPSA is optimal (~46 A^2), but the cLogP is sub-zero. While the tiny molecular volume permits BBB penetration despite the lack of lipophilicity, the molecule suffers from severe developability liabilities. The exposed 3-hydroxyl group is a prime target for rapid Phase II glucuronidation, guaranteeing a very short half-life. Furthermore, as a stoichiometric chelator rather than a catalytic enzyme inhibitor or receptor agonist, it will require massive, multi-gram daily dosing to achieve efficacy. This high systemic burden, combined with the inherent mechanism-based toxicity of systemic metal depletion (risk of bone marrow suppression and stripping of off-target trace metals like zinc/copper), makes chronic CNS application highly precarious. Tox Summary: Not Clean (Mechanism-based toxicity via systemic metal depletion and high-dose burden).",Low,['3-hydroxy-4-pyridinone (systemic metal depletion/agranulocytosis risk at high doses)'],0.65,"Small, polar molecule avoids hERG and CYP-mediated MBI, but the massive doses required for stoichiometric chelation introduce acute tolerability and GI risks.",0.45,"BBB penetration is feasible due to low molecular volume, but rapid Phase II clearance (glucuronidation of the 3-OH) will make maintaining sustained target engagement in the CNS extremely difficult.",0.2,"Chronic administration of high-dose systemic chelators carries severe risks of bone marrow suppression (neutropenia) and off-target trace metal depletion, which is a massive hurdle for a chronic Parkinson's indication.",0.0585
Masitinib,CC1=C(NC2=NC(C3=CN=CC=C3)=CS2)C=C(NC(=O)C2=CC=C(CN3CCN(C)CC3)C=C2)C=C1,Tyrosine Kinase Inhibitor (c-Kit),Mild-to-Moderate AD (adjunct),Ph. III Not Yet Recruiting,AB Science,65,"The molecule utilizes a classic aminothiazole-pyridine hinge-binding motif, which guarantees potent kinase engagement but carries a heavy 'Selectivity Tax' for kinome promiscuity. Physicochemically, it sits dangerously on the edge of CNS MPO limits: MW approaches 500 and cLogP is estimated around 4.0-4.5. While the TPSA (~80 Å²) is theoretically acceptable for BBB penetration, the presence of the strongly basic N-methylpiperazine (pKa > 8) introduces severe liabilities. First, it creates a classic hERG pharmacophore when paired with the massive hydrophobic core. Second, basic amines of this size are notorious for P-gp efflux and lysosomal trapping, which will drastically reduce the unbound brain fraction necessary for an Alzheimer's indication. Furthermore, the high lipophilicity and structural complexity flag a Rule of Two DILI risk, especially concerning for chronic dosing in an elderly population. Tox Summary: Not Clean.",Medium,"['N-methylpiperazine (hERG pharmacophore component / P-gp efflux liability)', 'Aminothiazole (kinome promiscuity / off-target toxicity)']",0.55,"Significant hERG liability from the basic piperazine and high lipophilicity, combined with potential off-target kinase toxicity, reduces safety margins.",0.3,"High risk of P-gp efflux and lysosomal trapping will severely limit free drug concentration in the CNS, threatening target engagement for a neurological indication.",0.15,"Chronic administration of a promiscuous, high-MW TKI in an elderly AD population carries massive DILI and cardiovascular safety risks.",0.02475
Neflamapimod (VX-745),O=C1N=CN2N=C(SC3=C(F)C=C(F)C=C3)C=CC2=C1C1=C(Cl)C=CC=C1Cl,p38a MAPK Inhibitor,Dementia with Lewy Bodies,Ph. II Completed,EIP Pharma / CervoMed,68,"This molecule is a flat, lipophilic brick masquerading as a CNS drug. While the TPSA (~45 Å²) and HBD (0) are theoretically optimal for BBB penetration, the extreme lipophilicity (estimated cLogP ~4.5-5.0) driven by the 2,6-dichlorophenyl and 2,4-difluorophenyl rings will result in massive non-specific brain tissue binding and negligible free drug fraction. The Fsp3 is practically zero, guaranteeing poor aqueous solubility and high kinome promiscuity via non-specific hydrophobic interactions. The most glaring liability is the thioether linkage, which serves as a massive metabolic sink for rapid CYP-mediated oxidation to the sulfoxide/sulfone, destroying the pharmacokinetic profile and potentially generating reactive intermediates. Tox Summary: Not Clean (High DILI risk via Rule of Two, off-target kinase promiscuity, thioether oxidation).",Low,"['Thioether linkage (rapid oxidation to sulfoxide/sulfone)', 'Highly halogenated flat biaryl system (DILI risk, high PPB)']",0.6,"The absence of a basic amine mitigates classic hERG risk, but extreme lipophilicity and poor solubility introduce significant formulation challenges and baseline hepatotoxicity risks.",0.25,Rapid metabolic clearance via thioether oxidation and near-total non-specific protein/lipid binding will obliterate the free fraction required for meaningful CNS target engagement.,0.1,"Chronic administration of a highly lipophilic, non-selective, flat kinase inhibitor in an elderly dementia population carries unacceptable long-term safety and DILI risks.",0.015
Nilotinib,CC1=CN(C2=CC(C(F)(F)F)=CC(NC(=O)C3=CC(NC4=NC=CC(C5=CN=CC=C5)=N4)=C(C)C=C3)=C2)C=N1,BCR-ABL / c-Kit TK Inhibitor,Dementia with Lewy Bodies,Ph. II Recruiting,Georgetown University,85,"This molecule is a classic 'Brick' masquerading as a CNS drug. With an estimated MW > 520, a TPSA hovering near 100 Å², and a cLogP pushing 5.0, it violently violates CNS MPO guidelines. The aminopyrimidine core is a standard kinase hinge-binder, carrying a heavy 'Selectivity Tax' for off-target kinome promiscuity. For a Dementia with Lewy Bodies indication, brain penetrance is mandatory, yet this highly lipophilic, multi-aromatic system is practically screaming to be a P-glycoprotein (P-gp) efflux substrate. Achieving therapeutic free-drug concentrations in the brain will require massive peripheral dosing, which, combined with the high cLogP and structural complexity, triggers a severe DILI (Drug-Induced Liver Injury) alert. The trifluoromethyl and multiple methyl groups offer some metabolic shielding, but the overall physicochemical profile is fundamentally incompatible with chronic CNS dosing in an elderly population. Tox Summary: Not Clean.",Medium,"['Aminopyrimidine (kinome promiscuity)', 'Highly lipophilic multi-aromatic core (DILI risk via Rule of Two)']",0.45,"High lipophilicity and kinase promiscuity raise baseline safety concerns, particularly regarding hepatotoxicity and cardiovascular off-targets.",0.1,"Catastrophic mismatch for a CNS indication. High MW, elevated TPSA, and likely P-gp efflux will severely restrict blood-brain barrier (BBB) penetration, preventing meaningful target engagement.",0.05,"Chronic administration of a promiscuous, lipophilic kinase inhibitor in an elderly, frail DLB population carries an unacceptable long-term safety burden.",0.00225
Pridopidine,CCCN1CCC(C2=CC(S(C)(=O)=O)=CC=C2)CC1,sigma-1R Agonist,ALS,Ph. III Not Yet Recruiting,Prilenia,25,"A remarkably lean and efficient CNS penetrant. With a MW < 300, TPSA ~46 Å², and an estimated cLogP ~2.5, this molecule perfectly hits the CNS MPO sweet spot. The incorporation of the meta-methylsulfonyl group is a MedChem masterstroke: it lowers lipophilicity, avoids the 'grease tax', and provides a metabolic shield to the aromatic ring without violating HBD limits (HBD=0). However, the 1-alkyl-4-phenylpiperidine core is a notorious pharmacophore for off-target GPCR promiscuity and hERG liability due to the highly basic tertiary amine (pKa ~9.5) positioned near a hydrophobic vector. While the polar sulfone mitigates the hERG risk compared to purely lipophilic analogs by reducing overall logP, cardiovascular safety margins must be rigorously monitored. Primary metabolic clearance will be driven by CYP-mediated N-dealkylation of the propyl chain. Tox Summary: Clean.",Medium,1-alkyl-4-phenylpiperidine (moderate hERG and GPCR promiscuity flag),0.75,"Excellent physicochemical properties and lack of reactive metabolites support a strong safety profile, though the basic piperidine core presents a manageable hERG/cardiovascular risk.",0.55,"Near-perfect CNS MPO scores guarantee blood-brain barrier penetration and target exposure. The primary risk is biological translation in ALS, not chemical developability.",0.15,"Chronic dosing in a neurodegenerative disease like ALS is historically fraught with high attrition rates due to complex disease biology, despite excellent small molecule properties.",0.061875
Simufilam (PTI-125),CN1CCC2(CC1)NCC(=O)N2CC1=CC=CC=C1,Filamin A,Mild-to-Moderate AD,Ph. III Completed,Cassava Sciences,15,"This is a highly efficient, low-molecular-weight (MW < 300) spirocyclic scaffold that perfectly threads the needle for CNS penetration. The cLogP is estimated around 1.5-2.0 with a TPSA near 45 Å², yielding an exceptional CNS MPO score. The rigid 1,3,8-triazaspiro[4.5]decane core minimizes entropic penalties upon binding, providing a strong foundation for high Lipophilic Efficiency (LipE). The primary structural flag is the classic hERG pharmacophore—a basic N-methylpiperidine (pKa ~9) separated from a lipophilic benzyl group by a rigid spacer. However, the overall low lipophilicity (cLogP < 2.5) significantly blunts this hERG liability, as channel affinity is heavily grease-dependent. Metabolic liabilities are standard and manageable: N-demethylation at the piperidine, benzylic oxidation, and potential para-hydroxylation of the unsubstituted phenyl ring. No reactive toxicophores, suicide inhibition alerts, or fragment tox risks are present. Tox Summary: Clean.",Medium,None significant; basic amine + benzyl motif flags for hERG but is heavily mitigated by low overall cLogP.,0.75,Excellent physicochemical properties and lack of reactive metabolites suggest a clean Phase 1 safety profile. The hERG risk is structurally present but functionally mitigated by the molecule's low lipophilicity.,0.45,"Optimal CNS MPO parameters (low MW, low TPSA, moderate LogP) virtually guarantee BBB penetration and central target exposure, maximizing the chance of target engagement.",0.2,"Chronic safety looks highly promising due to the lack of structural alerts and low grease burden. The probability is capped primarily by the notoriously high biological attrition rate in Alzheimer's Disease, rather than chemical liabilities.",0.0675
