name,isomeric,target_class,therapeutic_area,trial_phase,company,Edward Score V22,Rationale V22,metabolic_stability_estimate,potential_toxic_fragments,P1 Prob V22,P1 Rationale V22,P2 Prob V22,P2 Rationale V22,P3 Prob V22,P3 Rationale V22,TCSP V22,Salah Verdict V22,Biological Risk V22,Clinical Attrition Risk V22,Target Stigma Penalty V22,P3 Cap Reason V22
Ambroxol,NC1=C(CNC2CCC(O)CC2)C=C(Br)C=C1Br,GCase (GBA1) Chaperone / Lysosomal,GBA-PD (disease modifying),Ph. II Completed,Fondazione I.R.C.C.S.,88,"Physicochemically, this NCE presents a deceptive 'Goldilocks' profile for CNS penetration: MW < 400, TPSA ~58 Å², and an estimated cLogP ~2.5-3.0. However, structural inspection reveals fatal liabilities for a chronic, high-dose neurodegenerative indication. The presence of a primary aniline is a severe structural alert; at the massive systemic doses (>500mg/day) required to drive CNS target engagement, CYP-mediated N-oxidation to reactive hydroxylamines and nitroso species is virtually guaranteed, leading to methemoglobinemia and idiosyncratic DILI. The heavy 2,4-dibromo substitution, while blocking aromatic oxidation, creates a highly lipophilic, electron-withdrawing hemisphere that exacerbates non-specific binding. Biologically, the 'chaperone paradox' is critical: while the aniline's pKa (~4) might offer a theoretical pH-dependent protonation switch in the acidic lysosome (pH 4.5) to facilitate dissociation, any failure in this off-rate kinetic turns the molecule into a competitive inhibitor, exacerbating lysosomal substrate accumulation. Integrating the biological advisory's 45-point penalty for the flawed mechanism and guaranteed tox, this NCE is a chemical hazard. Tox Summary: Not Clean.",Medium,"Primary aniline (CYP-mediated N-hydroxylation to reactive nitroso species), 2,4-dibromophenyl (heavy halogen lipophilic burden)",0.35,"High risk of methemoglobinemia and idiosyncratic DILI due to the primary aniline, especially at the high doses required for CNS penetrance.",0.2,"The 'chaperone paradox' severely threatens efficacy; if the lysosomal off-rate is insufficient, the molecule acts as a competitive inhibitor, worsening the underlying pathology.",0.05,Chronic administration of a dibromo-aniline for a neurodegenerative disease is a non-starter due to cumulative idiosyncratic toxicity and liver burden.,0.0035,TERMINATE,"Disease-modifying Parkinson's is a clinical graveyard with near-total historical attrition. The GCase chaperone mechanism suffers from a fundamental biological flaw: the 'chaperone paradox'. The molecule must bind mutant GCase in the ER to prevent degradation, but must rapidly dissociate in the acidic lysosome. If the off-rate is too slow at pH 4.5, the chaperone acts as a competitive inhibitor, paradoxically worsening lysosomal substrate accumulation. Furthermore, achieving sufficient CNS penetrance to drive target engagement requires a massive systemic dose burden (>500mg/day). Structurally, this NCE contains a primary aniline and heavy halogenation (dibromo-phenyl). High-dose administration of an aniline guarantees CYP-mediated bioactivation into reactive hydroxylamines. You are trading a theoretical neuroprotective effect for guaranteed idiosyncratic DILI and methemoglobinemia. The liver will fail long before the substantia nigra is rescued.",High,45,"Insurmountable Phase 3 efficacy hurdles in disease-modifying PD, compounded by dose-limiting hepatotoxicity driven by aniline reactive metabolites at the high doses required for CNS target engagement."
Blarcamesine (ANAVEX2-73),CN(C)CC1CCOC1(C1=CC=CC=C1)C1=CC=CC=C1,sigma-1R Agonist,Alzheimer's Disease,Ph. IIb/III Completed,Anavex Life Sciences,92,"This structure is a textbook example of the 'greasy basic amine' trap. While the low molecular weight (~281 Da) and zero hydrogen bond donors ensure rapid blood-brain barrier penetration, the physicochemical profile is severely compromised by a critically low TPSA (~12 Å²) and a cLogP near 4.0. The topology features a strongly basic dimethylamine (pKa ~9) tethered to a bulky, highly lipophilic gem-diphenyl cluster. This is a classic, unmitigated hERG pharmacophore that guarantees promiscuous off-target binding across the biogenic amine GPCRome and ion channels. Metabolically, the tetrahydrofuran ring is a glaring soft spot, highly susceptible to CYP-mediated oxidation alpha to the ether oxygen, while the dimethylamine will undergo rapid N-demethylation. Integrating the biological advisory: Alzheimer's disease is a clinical graveyard, and targeting the vague Sigma-1 receptor with a non-selective, highly lipophilic agent is a fool's errand. The required CNS exposure will inevitably trigger dose-limiting off-target toxicities long before any theoretical neuroprotective threshold is reached. A massive 45-point penalty is applied for the fundamentally flawed biological rationale and target stigma. Tox Summary: Not Clean.",Low,"Tetrahydrofuran ring (risk of alpha-oxidation to reactive lactones/ring opening), gem-diphenyl basic amine motif (severe hERG and phospholipidosis liability)",0.25,"High risk of QTc prolongation (hERG) and dose-limiting CNS toxicities (dizziness, delirium) due to off-target GPCR promiscuity driven by the highly lipophilic, low-TPSA basic amine.",0.05,"Alzheimer's disease is a clinical graveyard. The Sigma-1 receptor hypothesis lacks robust genetic validation, and achieving sufficient target engagement without dose-limiting toxicity is highly improbable.",0.02,"Chronic dosing of a promiscuous, lipophilic basic amine in an elderly, frail Alzheimer's population guarantees insurmountable safety and tolerability hurdles.",0.00025,TERMINATE,"Alzheimer's disease is the ultimate clinical graveyard. Targeting the Sigma-1 receptor (S1R) relies on a vague 'neuroprotection and ER stress' hypothesis rather than genetically validated disease drivers. Historically, broad pleiotropic neuroprotectants fail to demonstrate robust, disease-modifying cognitive benefits in Phase 3 AD trials. Furthermore, the highly lipophilic basic amine structure strongly predicts promiscuous off-target pharmacology, including hERG liability (QTc prolongation) and off-target GPCR/ion channel binding. To achieve sufficient CNS receptor occupancy for efficacy, the required dose will likely trigger dose-limiting CNS toxicities (dizziness, confusion) long before any neuroprotective threshold is reached.",High,45,"Alzheimer's disease indication with a non-genetically validated, pleiotropic mechanism; near-certain failure on primary cognitive endpoints in Phase 3."
DNL343,O=C(COC1=CC=C(Cl)C=C1)NC12CC(C3=NN=C(C4CC(OC(F)(F)F)C4)O3)(C1)C2,eIF2B Activator,ALS (ISR Modulation),Ph. II/III Completed,Denali (HEALY Platform),82,"This molecule is a masterclass in how not to design a CNS drug. While the TPSA (~86 Å²) is technically within bounds, the molecule is a lipophilic brick (MW ~460, cLogP ~5.0) heavily burdened by halogens (Cl, OCF3) and greasy aliphatic spacers (bicyclo[1.1.1]pentane, cyclobutane). This extreme lipophilicity guarantees massive non-specific binding, requiring massive systemic doses to achieve any meaningful free fraction in the brain. Structurally, the phenoxyacetamide linker is a glaring metabolic soft spot; CYP-mediated O-dealkylation at the activated methylene will readily cleave this to release 4-chlorophenol, a known toxicophore. Integrating the biological advisory: blunting the ISR via eIF2B activation is a fundamentally flawed strategy that invites catastrophic ER stress. When you combine a high-dose requirement (driven by grease) with a biologically perilous mechanism and a toxic metabolite, you trigger a massive DILI liability. Tox Summary: Not Clean.",Medium,4-chlorophenol (via CYP-mediated O-dealkylation of the phenoxyacetamide linker),0.35,"While the lack of a basic amine mitigates hERG risk, the release of 4-chlorophenol and the acute ER stress risk from forced translation in stressed cells severely compromise safety margins.",0.15,ALS is a notorious clinical graveyard. The extreme lipophilicity and resulting high non-specific binding mean achieving a pharmacologically active unbound fraction in the CNS without hitting dose-limiting toxicities is highly improbable.,0.05,Chronic ISR blunting combined with a high lipophilic burden and high required doses perfectly aligns with the Rule of Two for severe DILI liability. It will not survive chronic toxicity studies.,0.002625,CAUTION,"Targeting eIF2B to blunt the Integrated Stress Response (ISR) in ALS is biologically perilous. The ISR is an evolutionarily conserved survival mechanism designed to halt translation during cellular stress. Chronically forcing translation in stressed cells by activating eIF2B risks catastrophic endoplasmic reticulum (ER) stress, particularly in highly secretory organs like the pancreas, and carries theoretical oncogenic risks. Furthermore, ALS is a notorious clinical graveyard where preclinical models consistently fail to predict human efficacy. Structurally, this heavily halogenated (chlorine, trifluoromethoxy), highly lipophilic molecule will likely suffer from high non-specific binding. To achieve a pharmacologically active unbound fraction in the CNS, it will require a high systemic dose. A high lipophilic burden combined with a high dose inevitably drives hepatic clearance saturation and significant DILI liability.",High,45,ALS indication carries near-total historical Phase 3 attrition; chronic systemic suppression of the Integrated Stress Response poses severe long-term safety and ER-stress liabilities.
Deferiprone,CC1=C(O)C(=O)C=CN1C,Iron Chelator,Parkinson's Disease,Ph. II Completed,University Hospital Lille,88,"This is a fragment masquerading as a CNS drug. While the physicochemical properties (MW < 150, low TPSA) might superficially suggest good developability, the structural reality of the 3-hydroxy-4-pyridinone core is a fatal flaw for this indication. As a bidentate chelator, basic coordination chemistry dictates a strict 3:1 ligand-to-iron ratio to fully satisfy the hexacoordinate geometry of Fe(III). This hardwired stoichiometry, combined with the highly exposed hydroxyl group that will act as a massive sink for rapid Phase II glucuronidation, guarantees an astronomical clinical dose burden (grams per day) just to maintain systemic exposure, let alone CNS penetration. Furthermore, at sub-stoichiometric concentrations in the brain, this bidentate ligand will form incomplete, redox-active iron complexes. Instead of clearing iron, it will act as a Fenton chemistry catalyst, generating highly reactive hydroxyl radicals and exacerbating the exact oxidative stress it aims to treat. The biological advisory is entirely correct: the therapeutic window between CNS iron clearance and fatal systemic bone marrow toxicity is non-existent. Tox Summary: Not Clean. Severe risk of agranulocytosis, neutropenia, and paradoxical CNS oxidative stress.",Low,"['3-hydroxy-4-pyridinone (bidentate chelator prone to forming redox-active, incomplete metal complexes)', 'Exposed phenolic/enolic OH (rapid glucuronidation liability driving massive dose requirements)']",0.15,"The massive dose burden required to overcome rapid Phase II clearance and achieve 3:1 stoichiometry guarantees severe systemic toxicity, particularly bone marrow suppression (agranulocytosis).",0.1,"Target engagement in the CNS is highly improbable. The molecule will be rapidly cleared via UGTs, and any sub-stoichiometric CNS penetration will paradoxically worsen oxidative stress via Fenton chemistry.",0.02,"Chronic administration of a high-dose, redox-active chelator in an elderly, frail Parkinson's population is a clinical impossibility due to cumulative hematological toxicity.",0.0003,TERMINATE,"Targeting CNS iron accumulation in Parkinson's Disease via systemic chelation is a clinical graveyard. The mechanism requires stoichiometric binding (often 3:1 for bidentate ligands like this hydroxypyridinone scaffold), necessitating massive clinical doses (often >1 to 3 grams/day). This extreme dose burden guarantees severe systemic toxicities over the chronic treatment duration required for PD, most notably agranulocytosis, neutropenia, and profound anemia. Furthermore, small bidentate chelators can form incomplete, redox-active iron complexes that paradoxically exacerbate Fenton chemistry and oxidative stress in the brain. The therapeutic window between CNS iron clearance and fatal systemic bone marrow/liver toxicity is virtually non-existent.",High,45,"Massive stoichiometric dose requirements (>1g/day) guarantee systemic dose-limiting toxicities (agranulocytosis, hepatotoxicity) before chronic neuroprotective efficacy can be established."
Masitinib,CC1=C(NC2=NC(C3=CN=CC=C3)=CS2)C=C(NC(=O)C2=CC=C(CN3CCN(C)CC3)C=C2)C=C1,Tyrosine Kinase Inhibitor (c-Kit),Mild-to-Moderate AD (adjunct),Ph. III Not Yet Recruiting,AB Science,98,"The structural evaluation reveals a high-molecular-weight (MW ~499) multi-aromatic scaffold that is fundamentally unsuited for a chronic CNS indication. The physicochemical profile (cLogP ~4.0, TPSA ~73 Å², basic piperazine with pKa ~8.5) yields a dismal CNS MPO score. The basic tertiary amine will drive lysosomotropism and act as a strong recognition motif for P-gp efflux, severely restricting blood-brain barrier (BBB) permeability. As highlighted by the biological advisory, achieving therapeutic CNS exposure will require massive systemic doses to overcome this poor partitioning. From a MedChem perspective, this high-dose requirement triggers the 'Rule of Two' for Drug-Induced Liver Injury (DILI), especially given the lipophilic core. Furthermore, the molecule contains a hERG pharmacophore: a strong basic center (methylpiperazine) linked to a massive hydrophobic cluster. The aminothiazole moiety also presents a risk for metabolic bioactivation and idiosyncratic toxicity. Deploying this oncology-style scaffold in a frail, geriatric Alzheimer's population is chemically and biologically indefensible. Tox Summary: Not Clean.",Medium,"Aminothiazole (idiosyncratic toxicity risk via bioactivation), basic methylpiperazine (hERG and P-gp liability), aniline-derived amide (potential toxic cleavage products)",0.15,"High risk of hERG liability due to the basic piperazine-hydrophobic core topology, combined with significant DILI risk at the high systemic doses required to force CNS exposure.",0.05,P-gp efflux and lysosomal trapping will prevent meaningful CNS target engagement. Any attempt to push the dose will result in dose-limiting peripheral kinase toxicities.,0.01,"Chronic administration of a systemically toxic, promiscuous kinase inhibitor in an elderly, frail Alzheimer's population guarantees catastrophic dropout rates due to intolerable adverse events.",7.5e-05,TERMINATE,"Deploying a systemic Tyrosine Kinase Inhibitor (c-Kit) for a chronic, neurodegenerative indication like Alzheimer's Disease in an elderly, frail population is biologically reckless. The rationale likely hinges on modulating neuroinflammation via mast cells or microglia, but the therapeutic window is practically non-existent. To achieve sufficient CNS target engagement across the blood-brain barrier, the systemic dose must be pushed high. This guarantees severe peripheral kinase-mediated toxicities, including myelosuppression, severe gastrointestinal distress, cardiotoxicity, and a massive DILI (Drug-Induced Liver Injury) risk. Alzheimer's is already a clinical graveyard; introducing a highly toxic, oncology-grade mechanism to a geriatric demographic will result in catastrophic Phase 2/3 dropout rates due to intolerable adverse events.",High,45,Unacceptable safety and tolerability profile for a chronic geriatric CNS indication; severe DILI and myelosuppression risks will drive massive trial attrition.
Neflamapimod (VX-745),O=C1N=CN2N=C(SC3=C(F)C=C(F)C=C3)C=CC2=C1C1=C(Cl)C=CC=C1Cl,p38a MAPK Inhibitor,Dementia with Lewy Bodies,Ph. II Completed,EIP Pharma / CervoMed,88,"This molecule is a textbook example of brute-force lipophilicity masquerading as rational design. The architecture relies on a flat, fused nitrogenous core flanked by heavy halogenated grease (2,6-dichlorophenyl and 2,4-difluorophenyl rings). While this drives cLogP dangerously high (estimated >4.5), it destroys Lipophilic Efficiency (LipE) and guarantees non-specific binding. The most glaring structural flaw is the thioether linkage. This is a massive metabolic soft spot, destined for rapid CYP450/FMO-mediated oxidation to the sulfoxide and sulfone, severely limiting half-life. To achieve the necessary BBB penetration for a CNS indication, the systemic dose will have to be pushed to extreme levels to compensate for this rapid clearance. As highlighted by the biological advisory, this creates a fatal 'Rule of Two' DILI trap: high lipophilicity combined with high daily dosing of a metabolically vulnerable, halogen-heavy molecule will inevitably overwhelm hepatic clearance and generate reactive metabolites. Furthermore, the rigid 2,6-dichlorophenyl group attached to the core presents a high risk of atropisomerism, complicating development. The flat hinge-binding motif also strongly suggests kinome promiscuity. Tox Summary: Not Clean.",Low,"['Thioether linkage (rapid oxidation/clearance)', 'Highly lipophilic halogenated rings (DILI risk via hepatic accumulation)']",0.15,"Severe DILI risk driven by high lipophilicity, rapid thioether oxidation, and the high systemic doses required for CNS penetration.",0.1,"Achieving sustained microglial target engagement in the CNS will be nearly impossible due to rapid peripheral clearance, leading to sub-therapeutic trough levels.",0.02,Chronic dosing of a hepatotoxic p38a inhibitor in an elderly dementia population is a guaranteed clinical failure due to cumulative liver toxicity and opportunistic infections.,0.0003,TERMINATE,"p38a MAPK is a notorious clinical graveyard. Decades of trials in systemic inflammation failed due to severe hepatotoxicity (DILI), opportunistic infections, and tachyphylaxis. Pivoting this target to a CNS indication like Dementia with Lewy Bodies requires threading an impossible needle: driving systemic exposures high enough to achieve meaningful BBB penetration and microglial target engagement, while somehow avoiding the dose-limiting liver toxicity that killed its predecessors. Structurally, the highly lipophilic dichlorophenyl and difluorophenyl rings coupled with a metabolically vulnerable thioether linkage guarantee heavy CYP450 reliance. To achieve CNS efficacy, the required systemic dose will inevitably overwhelm hepatic clearance, leading to reactive metabolite formation and DILI. The biological rationale is a trap.",High,45,Unmanageable therapeutic index: systemic hepatotoxicity and tachyphylaxis will emerge before sustained CNS target engagement is achieved.
Nilotinib,CC1=CN(C2=CC(C(F)(F)F)=CC(NC(=O)C3=CC(NC4=NC=CC(C5=CN=CC=C5)=N4)=C(C)C=C3)=C2)C=N1,BCR-ABL / c-Kit TK Inhibitor,Dementia with Lewy Bodies,Ph. II Recruiting,Georgetown University,95,"This molecule is a classic Type II kinase inhibitor scaffold (aminopyrimidine linked to multiple aromatic systems) that is fundamentally incompatible with a chronic CNS indication like Dementia with Lewy Bodies. From a physicochemical standpoint, it is a 'Brick' (MW > 500) with excessive lipophilicity (cLogP > 4.5) and a TPSA (~98 Å²) that exceeds the strict < 90 Å² threshold for optimal blood-brain barrier penetration. To achieve meaningful target engagement in the CNS, massive systemic doses will be required. This directly triggers the 'Rule of Two' for DILI risk (high lipophilicity + high daily dose). Furthermore, the presence of multiple basic and lipophilic aromatic rings (imidazole, pyridine, CF3-phenyl) creates a strong hERG liability. The 2-aminopyrimidine motif carries a heavy 'Selectivity Tax' for kinome promiscuity. As Salah correctly points out, deploying this oncology-style hammer in an elderly, frail DLB population guarantees severe systemic toxicities (myelosuppression, hepatotoxicity, QTc prolongation) long before any alpha-synuclein clearance is achieved. The therapeutic index is effectively zero. Tox Summary: Not Clean.",Medium,"2-aminopyrimidine (kinome promiscuity), CF3-phenyl (lipophilicity-driven DILI risk), multi-basic aromatic system (hERG liability)",0.15,"High risk of dose-limiting toxicities (QTc prolongation, myelosuppression) in a healthy volunteer or elderly Phase 1 cohort due to off-target kinase inhibition and hERG liabilities.",0.1,"Poor CNS MPO (MW > 500, TPSA > 90) means achieving therapeutic concentrations in the brain will require systemic exposures that exceed the maximum tolerated dose.",0.02,Chronic administration in an elderly DLB population is a clinical death sentence. The 'Rule of Two' DILI risk and cumulative cardiovascular toxicities will inevitably halt any pivotal trial.,0.0003,TERMINATE,"Deploying a multi-targeted BCR-ABL/c-Kit tyrosine kinase inhibitor for a chronic neurodegenerative indication like Dementia with Lewy Bodies (DLB) is a clinical death sentence. These targets are validated for oncology, where severe systemic toxicities (myelosuppression, QTc prolongation, severe hepatotoxicity, and vascular events) are tolerated. In an elderly, frail DLB population, this safety profile is completely unacceptable. Furthermore, achieving adequate CNS penetration to drive alpha-synuclein clearance via c-Abl inhibition requires pushing systemic doses to levels that will inevitably trigger dose-limiting DILI and cardiotoxicity. The therapeutic index is effectively zero.",High,45,Zero therapeutic index: systemic multi-kinase toxicity (cardiovascular/DILI) at the doses required to achieve CNS target engagement in an elderly population.
Pridopidine,CCCN1CCC(C2=CC(S(C)(=O)=O)=CC=C2)CC1,sigma-1R Agonist,ALS,Ph. III Not Yet Recruiting,Prilenia,88,"From a purely physicochemical standpoint, this molecule is deceptively attractive: MW < 300, TPSA ~46 Å², and a cLogP in the optimal CNS Goldilocks zone (~2.5). It will cross the blood-brain barrier with ease. However, the structural framework is a classic 4-phenylpiperidine derivative, a notorious pharmacophore for hERG liability and broad biogenic amine receptor promiscuity. The highly basic tertiary amine (pKa > 9) guarantees lysosomal partitioning. While the meta-methylsulfonyl group provides a welcome reduction in lipophilicity compared to a halogen, it leaves the para-position of the phenyl ring exposed to oxidative metabolism. Integrating the biological advisory: deploying a basic, promiscuous piperidine as a 'soft' S1R chaperone in ALS is a strategic disaster. The mechanism requires high target occupancy, meaning massive systemic doses. At those Cmax levels, the inherent hERG affinity and lysosomal trapping will inevitably trigger dose-limiting cardiotoxicity and phospholipidosis long before any meaningful neuroprotection is achieved in a disease as aggressive as ALS. Tox Summary: Not Clean (High dose-dependent hERG and Phospholipidosis risk).",Medium,"['4-phenylpiperidine scaffold (hERG/promiscuity alert)', 'Basic tertiary amine (Phospholipidosis/lysosomal trapping at high doses)']",0.45,"The high doses required for S1R chaperone efficacy will push systemic exposure into the danger zone for hERG inhibition and off-target GPCR binding, making Phase 1 dose-escalation highly problematic.",0.1,"ALS is a clinical graveyard. A generalized ER stress modulator lacks the mechanistic potency to halt such aggressive, heterogeneous motor neuron degeneration.",0.02,"Chronic administration of a basic lipophilic amine at high doses will likely unmask cumulative toxicities (phospholipidosis), coupled with an almost guaranteed failure to meet primary efficacy endpoints in a large ALS cohort.",0.0009,TERMINATE,"You are taking a 'soft' ER chaperone mechanism into the ultimate neurological graveyard: ALS. Sigma-1 receptor (S1R) agonists are notorious for generating beautiful preclinical neuroprotection papers and catastrophic Phase 3 failures. The disease pathology is too aggressive and heterogeneous for a generalized ER stress modulator to halt progression. Structurally, driving a basic piperidine into the CNS at the doses required for meaningful chaperone occupancy guarantees high systemic exposure, inviting hERG liabilities and potential phospholipidosis. This is an efficacy black hole.",High,45,ALS indication carries near-total historical Phase 3 attrition; S1R agonism lacks definitive human validation for disease modification in aggressive neurodegeneration.
Simufilam (PTI-125),CN1CCC2(CC1)NCC(=O)N2CC1=CC=CC=C1,Filamin A,Mild-to-Moderate AD,Ph. III Completed,Cassava Sciences,72,"Physicochemically, this is a pristine CNS-penetrant scaffold. With a MW < 300, cLogP ~2.0, TPSA ~50 Å², and a rigid spirocyclic core, it perfectly aligns with CNS MPO guidelines, promising excellent blood-brain barrier permeability and high LipE. However, the structural motif—a basic N-methylpiperidine linked to a hydrophobic benzyl group via a spiro center—is a highly privileged pharmacophore for off-target GPCRs (e.g., sigma, 5-HT, dopamine) and carries a baseline hERG liability, though mitigated by the low overall lipophilicity. The fatal flaw lies in the biology, as mandated by the Biological Advisory (+45 point penalty). Targeting Filamin A, a ubiquitous cytoskeletal scaffolding protein, is a mechanistic dead end for Alzheimer's Disease. Achieving meaningful CNS target engagement on such an abundant structural protein will require pushing systemic exposures. Pushing high doses of a promiscuous, basic CNS-penetrant spirocycle will inevitably unmask off-target neurotoxicity and idiosyncratic hepatotoxicity. Beautiful chemistry wasted on a biologically perilous target. Tox Summary: Chemically Clean, Biologically Not Clean (Severe Target-Mediated Toxicity Risk).",Medium,"Basic N-methylpiperidine (GPCR promiscuity/hERG risk at high doses), Benzylic position (site of oxidative metabolism)",0.45,"Clean physicochemical profile supports acute tolerability, but the high doses required for FLNA engagement risk early off-target CNS/cardiac events driven by the basic amine.",0.05,"Alzheimer's is a clinical graveyard, and modulating a ubiquitous actin-binding protein lacks robust mechanistic validation for cognitive improvement.",0.01,"Chronic dosing of a systemic cytoskeletal modulator in an elderly, frail population guarantees insurmountable long-term safety and pleiotropic liabilities.",0.000225,TERMINATE,"Alzheimer's Disease (AD) is the ultimate clinical graveyard for small molecules. Targeting Filamin A (FLNA), a ubiquitous actin-binding scaffolding protein, is biologically perilous. FLNA interacts with over 90 distinct proteins and is critical for fundamental cellular functions, including cytoskeletal dynamics, vascular integrity, cell migration, and platelet function. Modulating such a highly abundant, systemic structural protein to treat a localized neurodegenerative pathology carries immense pleiotropic risk and unpredictable on-target/off-tissue toxicity. Furthermore, the mechanistic rationale of 'correcting' a scaffolding protein's conformation lacks robust, historically validated clinical precedent. To achieve meaningful target engagement on an abundant structural protein in the CNS, high systemic exposures are typically required, escalating the risk of idiosyncratic hepatotoxicity (DILI) and off-target neurotoxicity.",High,45,"Fundamentally flawed biological rationale targeting a ubiquitous cytoskeletal protein in a 99% failure-rate indication, carrying massive pleiotropic toxicity and efficacy translation risks."
