compound,aliases,target_class,Target,indication,max_phase,year-approved,year_stopped,primary_safety_signal,category,therapeutic_area,failure_type,MedChem_D,isomeric,canonical,inchikey,cid,status,Edward Score V23,Rationale V23,metabolic_stability_estimate,potential_toxic_fragments,P1 Prob V23,P1 Rationale V23,P2 Prob V23,P2 Rationale V23,P3 Prob V23,P3 Rationale V23,TCSP V23,Salah Verdict V23,Biological Risk V23,Clinical Attrition Risk V23,Target Stigma Penalty V23,P3 Cap Reason V23
aceclidine,,GPCR,Muscarinic (M3),Presbyopia,Approved,2025.0,,,Approved,Ophthalmology,,approved_control,CC(=O)OC1CN2CCC1CC2,CC(=O)OC1CN2CCC1CC2,WRJPSSPFHGNBMG-UHFFFAOYSA-N,1979,OK,28,"Physicochemical evaluation reveals an ultra-low molecular weight (MW < 200) bicyclic tertiary amine coupled with an acetate ester. The architecture is highly rigid, providing an excellent 3D vector projection for the basic nitrogen (pKa ~10) while maintaining a minimal TPSA (~30 Å²) and low cLogP, guaranteeing exceptional Lipophilic Efficiency (LipE). From a developability standpoint, the ester linkage acts as a deliberate 'soft drug' motif. It ensures rapid hydrolysis by ubiquitous tissue and plasma esterases into a highly polar, systemically cleared alcohol, elegantly bypassing hepatic CYP450 metabolism and systemic DILI risks. There are no hERG pharmacophores (lacking the requisite hydrophobic tail) or MBI alerts. However, integrating the biological advisory, the razor-thin therapeutic window due to local on-target pharmacology (ciliary spasm, hyperemia) is the primary liability. The molecule is chemically pristine and perfectly designed for its route of administration, but biologically constrained by its local tolerability profile. Tox Summary: Clean.",Low,None (Hydrolysis yields benign acetic acid and a polar bicyclic alcohol),0.75,Systemic safety is virtually guaranteed by rapid esterase-mediated clearance. Phase 1 risk is entirely dependent on local ocular tolerability and acute irritation at the maximum tolerated dose.,0.55,"Target engagement in the eye is highly probable given the physicochemical properties favoring corneal penetration, but achieving efficacy without triggering dose-limiting ciliary spasm will be challenging.",0.3,"Commercial viability and Phase 3 success are severely threatened by patient compliance issues. Chronic ocular discomfort (brow ache, hyperemia) is a massive attrition risk for topical ophthalmic GPCR agonists.",0.12375,CAUTION,"Targeting an ophthalmic GPCR with a low-molecular-weight, ester-bearing bicyclic amine strongly suggests cholinergic or muscarinic modulation. The ester linkage acts as a classic 'soft drug' feature, ensuring rapid hydrolysis by corneal and plasma esterases to prevent systemic accumulation. This beautifully bypasses the hepatic dose-burden and DILI risks that typically plague systemic therapies, as the systemic exposure will be negligible. However, the biological risk here shifts entirely to local tissue pharmacology. Forcing high GPCR occupancy in the eye routinely triggers severe ciliary muscle spasm, brow ache, and conjunctival hyperemia. Your clinical attrition won't come from liver toxicity; it will come from massive Phase 3 patient dropout due to intolerable ocular discomfort. The target class is highly validated, but the therapeutic window between intraocular efficacy and local tolerability is razor-thin.",Medium,15,"High risk of patient dropout due to local ocular adverse events (ciliary spasm, hyperemia) despite excellent systemic safety."
sebetralstat,,Enzyme,Plasma Kallikrein,HAE,Approved,2025.0,,,Approved,Rare Disease,,approved_control,COCC1=NN(C=C1C(=O)NCC2=NC=CC(=C2F)OC)CC3=CC=C(C=C3)CN4C=CC=CC4=O,COCC1=NN(C=C1C(=O)NCC2=NC=CC(=C2F)OC)CC3=CC=C(C=C3)CN4C=CC=CC4=O,KGMPDQIYDKKXRD-UHFFFAOYSA-N,121365142,OK,68,"The molecule suffers from high structural complexity (MW ~491) and excessive flexibility (~12 rotatable bonds), triggering 'The Balloon' alert and imposing a massive entropic penalty on binding. The presence of four aromatic systems (pyrazole, pyridine, phenyl, pyridone) drives high sp2 character, strongly predicting poor aqueous solubility. Metabolically, the scaffold is riddled with soft spots, including three inter-ring methylenes and two methoxy groups, making it highly susceptible to CYP-mediated oxidation and O-demethylation. Integrating the biological advisory: the combination of poor solubility and high metabolic clearance will necessitate a high oral dose to maintain target engagement. For a chronic rare disease indication, this high-dose requirement of a lipophilic, multi-ring xenobiotic places a severe metabolic burden on the liver, significantly elevating the risk of idiosyncratic DILI. Furthermore, the heavily substituted pyridine and pyrazole motifs introduce CYP liability, complicating polypharmacy. Tox Summary: Not Clean (High DILI risk via metabolic burden and poor solubility).",Low,"['Heavily substituted pyridine (CYP liability)', 'Multiple inter-ring methylenes (oxidation soft spots)']",0.65,"Lack of a basic amine mitigates hERG risk, but the high predicted oral dose required to overcome poor solubility and high clearance introduces early hepatic stress and DILI risk.",0.35,"The excessive number of rotatable bonds (~12) incurs a severe entropic penalty, likely compromising in vivo potency and sustained target engagement.",0.15,"Chronic administration of a high-MW, poorly soluble, multi-ring system for a rare disease carries an unacceptable risk of idiosyncratic DILI and long-term metabolic toxicity.",0.034125,CAUTION,"The indication of a 'Rare Disease' targeting an 'Enzyme' almost universally dictates chronic, lifelong dosing to maintain metabolic or signaling homeostasis. The structural scaffold presented features multiple aromatic systems (pyrazole, pyridine, phenyl, pyridone) and a moderate-to-high molecular weight, which strongly predicts poor aqueous solubility. Clinically, this translates to a high oral dose requirement (likely >100 mg/day) to overcome first-pass extraction and maintain sustained systemic target engagement. Chronic high-dose administration of lipophilic, multi-ring xenobiotics places a massive metabolic burden on the liver, significantly elevating the risk of idiosyncratic Drug-Induced Liver Injury (DILI). Furthermore, the presence of a heavily substituted pyridine and pyrazole may introduce CYP450 liability (inhibition or induction), complicating the polypharmacy often required in complex rare disease populations.",Medium,25,Chronic dosing requirements combined with a predicted high dose burden (>100mg) introduce significant idiosyncratic DILI risk during long-term Phase 3 safety extensions.
remibrutinib,,Kinase,BTK,CSU,Approved,2025.0,,,Approved,Immunology,,approved_control,CC1=C(C=C(C=C1NC(=O)C2=C(C=C(C=C2)C3CC3)F)F)C4=C(C(=NC=N4)N)OCCN(C)C(=O)C=C,CC1=C(C=C(C=C1NC(=O)C2=C(C=C(C=C2)C3CC3)F)F)C4=C(C(=NC=N4)N)OCCN(C)C(=O)C=C,CUABMPOJOBCXJI-UHFFFAOYSA-N,118107483,OK,85,"Physicochemically, this molecule sits at the upper boundaries of acceptable oral space (estimated MW ~520, cLogP ~4.0, TPSA ~100 Å²). The architecture features a classic aminopyrimidine hinge-binding motif coupled with a fluoro-cyclopropyl-benzamide tail for deep pocket occupation. However, the defining and fatal feature of this NCE is the N-methyl-N-(2-oxyethyl)acrylamide moiety. This is a terminal Michael acceptor designed for irreversible covalent inhibition via cysteine adduction. While covalent warheads are acceptable in oncology, deploying an electrophilic acrylamide for a chronic immunology indication is a profound MedChem error. As highlighted by the biological advisory, chronic exposure to an irreversible binder guarantees cumulative off-target protein adduction, glutathione (GSH) depletion, and subsequent haptenization. This is the mechanistic bedrock for idiosyncratic drug-induced liver injury (DILI). Furthermore, the apparent potency of covalent inhibitors often masks poor non-covalent LipE, meaning the scaffold relies on chemical reactivity rather than optimized thermodynamic recognition. The aminopyrimidine core also carries a baseline 'Selectivity Tax' for kinome promiscuity, which, when combined with a covalent warhead, amplifies the risk of off-target toxicity. Tox Summary: Not Clean (High risk of immune-mediated DILI via haptenization).",Medium,"['Acrylamide (Michael acceptor, high risk of GSH depletion and protein haptenization)', 'Aminopyrimidine (Kinome promiscuity flag)']",0.6,"May pass acute safety in healthy volunteers if the dose is kept low, though early signals of GSH depletion or mild transaminase elevations are possible.",0.3,"Target engagement and efficacy will likely be achieved due to the irreversible mechanism, but the trial will be heavily stalked by emerging ALT/AST elevations as off-target adduction accumulates.",0.05,"Chronic administration of a covalent electrophile in a non-lethal, non-oncology indication faces an insurmountable safety hurdle. Idiosyncratic DILI or severe immunosuppressive complications will almost certainly terminate the program.",0.009,CAUTION,"Deploying a covalent kinase inhibitor (evident by the terminal acrylamide Michael acceptor) for a chronic immunology indication is playing Russian roulette with the patient's liver. While the kinase target class is validated for autoimmune diseases, chronic administration of an irreversible binder guarantees off-target protein adduction and haptenization over time. This is a textbook setup for immune-mediated idiosyncratic drug-induced liver injury (DILI). Furthermore, kinase off-target effects combined with deep immunosuppression invite opportunistic infections and cardiovascular liabilities. The therapeutic window for a chronic covalent drug in a non-lethal indication is razor-thin.",High,40,"Chronic covalent target engagement in non-oncology indications carries severe idiosyncratic DILI and haptenization risks, capping late-stage survival."
brensocatib,,Enzyme,Cathepsin C (DPP1),Non-CF Bronchiectasis,Approved,2025.0,,,Approved,Respiratory,,approved_control,CN1C2=C(C=CC(=C2)C3=CC=C(C=C3)C[C@@H](C#N)NC(=O)[C@@H]4CNCCCO4)OC1=O,CN1C2=C(C=CC(=C2)C3=CC=C(C=C3)CCH(C#N)NC(=O)CH4CNCCCO4)OC1=O,AEXFXNFMSAAELR-RXVVDRJESA-N,118253852,OK,85,"Physicochemically, this molecule presents an attractive baseline profile: MW ~406, cLogP ~2.5, and TPSA ~103 Å², suggesting excellent solubility and a potentially high LipE. However, this structural elegance is entirely subverted by the alpha-amino nitrile motif. As highlighted by the biological advisory, this is a reversible covalent warhead designed to trap catalytic cysteines or serines. From a strict MedChem perspective, the highly electrophilic nitrile carbon is a severe liability for off-target thiol reactivity, leading to glutathione (GSH) depletion and protein haptenization. When coupled with the high systemic doses required to achieve adequate pulmonary exposure for respiratory indications, the risk of idiosyncratic Drug-Induced Liver Injury (DILI) and immune sensitization becomes unacceptable. The basic 1,4-oxazepane ring (pKa ~8.5) aids solubility but, when paired with the lipophilic benzoxazolone-phenyl tail, introduces a minor phospholipidosis flag, though hERG is largely mitigated by the low cLogP. Tox Summary: Not Clean.",Medium,"Alpha-amino nitrile (electrophilic covalent warhead, haptenization/DILI risk)",0.35,"High risk of idiosyncratic toxicity, GSH depletion, and DILI driven by the electrophilic alpha-amino nitrile warhead, exacerbated by the high systemic doses required for pulmonary target occupancy.",0.25,"Biological redundancy in respiratory inflammatory pathways frequently leads to devastating efficacy failures in vivo, despite pristine in vitro target engagement.",0.1,"Chronic administration of a covalent inhibitor for a non-oncology respiratory indication faces extreme regulatory scrutiny regarding long-term safety, off-target degradome reactivity, and immune sensitization.",0.00875,CAUTION,"The structural presence of an alpha-amino nitrile motif strongly indicates a reversible covalent mechanism, likely targeting a cysteine or serine protease (e.g., neutrophil elastase or cathepsins) for inflammatory respiratory conditions. The respiratory enzyme graveyard is vast and unforgiving. Systemic administration of covalent inhibitors to treat lung pathology requires high systemic exposure to achieve adequate pulmonary target occupancy. This high dose burden (>50-100mg), combined with the inherent off-target reactivity of the nitrile warhead against the broader human degradome, creates a severe liability for idiosyncratic Drug-Induced Liver Injury (DILI) and haptenization-driven immune responses. Furthermore, biological redundancy in respiratory inflammatory pathways frequently results in devastating Phase 2/3 efficacy failures despite pristine in vitro target engagement.",High,35,"High probability of idiosyncratic DILI driven by covalent warhead off-target reactivity, coupled with historical efficacy failures in respiratory protease inhibition."
nerandomilast,,Enzyme,PDE4B,IPF,Approved,2025.0,,,Approved,Respiratory,,approved_control,C1CC(C1)(CO)NC2=NC(=NC3=C2[S@](=O)CC3)N4CCC(CC4)C5=NC=C(C=N5)Cl,C1CC(C1)(CO)NC2=NC(=NC3=C2S(=O)CC3)N4CCC(CC4)C5=NC=C(C=N5)Cl,UHYCLWAANUGUMN-SSEXGKCCSA-N,166177189,OK,78,"Physicochemically, the molecule presents a deceptive facade of developability (MW ~435, moderate cLogP, TPSA ~120 Å²), avoiding the 'Grease Tax' and 'Balloon' penalties. However, structurally, it is a minefield. The core is a fused 2,4-diaminopyrimidine derivative, a classic and heavily stigmatized kinase hinge-binding motif that carries a massive 'Selectivity Tax' for kinome promiscuity. Integrating the biological advisory, the chiral sulfoxide embedded in the partially saturated thiophene ring is a fatal flaw. Sulfoxides are notorious for in vivo redox cycling, acting as substrates for CYPs and FMOs to interconvert between sulfides and sulfones. This guarantees erratic pharmacokinetics, unpredictable systemic exposure, and a massive metabolic burden on the liver. Furthermore, while the 5-chloropyrimidine tail is less susceptible to direct SNAr than 2- or 4-chloro analogs, oxidative bioactivation of this electron-deficient ring poses a distinct risk for reactive intermediate formation and subsequent glutathione (GSH) depletion. The piperidine nitrogen is conjugated to the pyrimidine, reducing its basicity and mitigating hERG risk, but this does not offset the metabolic and off-target liabilities. Given the razor-thin therapeutic window for respiratory enzyme targets, the required dosing will likely trigger idiosyncratic DILI or local macrophage accumulation if inhaled. Tox Summary: Not Clean.",Low,"['Chiral sulfoxide (redox cycling to sulfide/sulfone)', '5-chloropyrimidine (oxidative bioactivation and GSH depletion)', 'Fused 2,4-diaminopyrimidine (kinome promiscuity)']",0.35,"The chiral sulfoxide guarantees complex, erratic metabolism via redox cycling. Combined with the potential for GSH depletion from the chloro-heteroaromatic tail, Phase 1 clearance and safety profiles will be highly unpredictable.",0.2,"Respiratory enzyme targets are a clinical graveyard. The kinome promiscuity inherent to the 2,4-diaminopyrimidine core will likely drive dose-limiting off-target toxicities (emesis, tachyphylaxis) before meaningful target engagement is achieved.",0.05,"Chronic dosing of a redox-cycling, potentially GSH-depleting molecule in a respiratory indication is a recipe for idiosyncratic DILI or severe local irritation/macrophage accumulation. Commercial viability is near zero.",0.0035,CAUTION,"Targeting enzymes in respiratory indications (historically dominated by PDE4, p38 MAPK, or PI3K) is a well-documented clinical graveyard plagued by dose-limiting emesis, rapid tachyphylaxis, or severe hepatotoxicity. Structurally, this NCE is a metabolic nightmare. The inclusion of a chiral sulfoxide embedded in a fused ring system guarantees in vivo redox cycling (interconversion between sulfide and sulfone). This will result in highly erratic systemic exposure and a massive clearance burden on the liver. Furthermore, the chloro-heteroaromatic tail presents a distinct risk for nucleophilic attack and glutathione depletion. If dosed orally to achieve lung penetrance, the required dose will likely exceed 100mg, triggering idiosyncratic DILI. If intended for inhalation, expect alveolar macrophage accumulation and local irritation. The therapeutic window here is razor-thin.",High,35,High risk of idiosyncratic DILI due to sulfoxide redox cycling and historical dose-limiting toxicities in respiratory enzyme targets.
etripamil,,Ion Channel,L-type Ca Channel,PSVT,Approved,2025.0,,,Approved,Cardiovascular,,approved_control,CC(C)[C@](CCCN(C)CCC1=CC(=CC=C1)C(=O)OC)(C#N)C2=CC(=C(C=C2)OC)OC,CC(C)C(CCCN(C)CCC1=CC(=CC=C1)C(=O)OC)(C#N)C2=CC(=C(C=C2)OC)OC,VAZNEHLGJGSQEL-MHZLTWQESA-N,91824132,OK,88,"This NCE triggers a 'Hard Kill' alert for a textbook hERG pharmacophore: a strong basic center (tertiary amine, pKa ~8.5-9.0) flanked by flexible methylene spacers and multiple hydrophobic clusters (dimethoxyphenyl and benzoate rings). For a cardiovascular ion channel target, this structural motif is a massive proarrhythmic liability. Furthermore, the inclusion of a methyl ester is a glaring developability flaw for chronic oral administration. It guarantees rapid, extensive first-pass hydrolysis by hepatic and intestinal carboxylesterases (CES1/CES2), yielding a highly polar zwitterionic carboxylic acid that will likely lose target affinity and membrane permeability. As the biological advisory correctly notes, overcoming this massive clearance would require dangerously high dosing, which, combined with the molecule's high lipophilicity (cLogP ~4.5-5.0), perfectly sets up a Rule of Two DILI risk. Unless explicitly designed as an ultra-short-acting IV 'soft drug', this scaffold is fundamentally flawed for systemic exposure. Tox Summary: Not Clean (Severe hERG liability, high first-pass clearance, DILI risk at required doses).",Low,"['Methyl ester (rapid CES-mediated hydrolysis leading to massive clearance)', 'Basic lipophilic amine + flexible alkyl-aryl chains (classic hERG/phospholipidosis motif)']",0.15,Capped below 20% due to the 'Hard Kill' hERG pharmacophore alert. The risk of QT prolongation or acute hemodynamic collapse in healthy volunteers is unacceptably high.,0.1,Target engagement will be severely compromised by rapid esterase-mediated clearance. Maintaining therapeutic free-drug concentrations of the parent molecule will be nearly impossible without continuous IV infusion.,0.02,Chronic oral administration is unviable. The high doses required to overcome ester hydrolysis will inevitably trigger idiosyncratic DILI or chronic cardiovascular toxicity.,0.0003,CAUTION,"Targeting ion channels for cardiovascular indications is a high-stakes game with a notoriously razor-thin therapeutic index. The clinical graveyard is overflowing with basic lipophilic amines that either triggered fatal proarrhythmia (hERG liability) or caused severe negative inotropy and AV block. Structurally, this NCE features a basic amine backbone coupled with an ester moiety. If intended for chronic oral administration, gut and hepatic esterases will rapidly hydrolyze the ester during first-pass metabolism. To overcome this massive clearance, the clinical dose will likely need to be pushed dangerously high (>100-200mg), flooding the liver with metabolites and drastically elevating DILI risk. If it is deliberately designed as a 'soft drug' for IV use, the hepatic risk is mitigated, but the acute risk of profound hypotension or hemodynamic collapse remains severe.",High,35,"Narrow therapeutic index inherent to CV ion channel modulators; high risk of dose-limiting proarrhythmia or hemodynamic toxicity, compounded by ester-driven first-pass clearance liabilities."
aficamten,,Motor Protein,Cardiac Myosin,HCM,Approved,2025.0,,,Approved,Cardiovascular,,approved_control,CCC1=NC(=NO1)C2=CC3=C(C=C2)[C@@H](CC3)NC(=O)C4=CN(N=C4)C,CCC1=NC(=NO1)C2=CC3=C(C=C2)CH(CC3)NC(=O)C4=CN(N=C4)C,IOVAZWDIRCRMTM-OAHLLOKOSA-N,139331495,OK,52,"From a purely physicochemical standpoint, this molecule is a masterclass in property-based design. With a molecular weight well under 400 Da, a cLogP in the Goldilocks zone (~2.5-3.0), and a highly rigid architecture (low rotatable bonds), it is primed for exceptional Lipophilic Efficiency (LipE). The TPSA (~86 Å²) and single HBD ensure excellent permeability without excessive solvation penalties. Furthermore, it is devoid of basic amines, completely bypassing the hERG pharmacophore, and lacks structural alerts for mechanism-based inhibition (MBI) or reactive metabolite formation. However, medicinal chemistry does not exist in a vacuum. As per the biological advisory, modulating cardiovascular motor proteins carries a catastrophic pharmacodynamic risk. The razor-thin therapeutic index means that even with perfect pharmacokinetics, slight Cmax fluctuations could trigger iatrogenic heart failure or severe LVEF depression. The chemistry is a precision scalpel, but the target is a live grenade. The 35-point biological penalty is fully applied, elevating an otherwise elite chemical score. Metabolic soft spots include benzylic oxidation on the indane core and aliphatic oxidation of the ethyl-oxadiazole moiety, though clearance should be manageable. Tox Summary: Chemically Clean, but severe PD-driven toxicity risk.",Medium,"None (Chemically clean, toxicity is entirely mechanism/PD-driven)",0.65,"Excellent physicochemical properties and lack of off-target/hERG liabilities ensure good tolerability at low doses, but the razor-thin therapeutic index and risk of hemodynamic crashing limit dose escalation in healthy volunteers.",0.45,"High probability of target engagement due to optimal ADME properties, but proving a safe efficacy window without triggering LVEF drops or arrhythmias will be highly challenging.",0.2,The necessity for echo-guided dose titration and a strict REMS program severely hampers commercial viability and chronic safety. Any severe adverse cardiovascular event in a large cohort will derail the program.,0.0585,CAUTION,"Modulating cardiovascular motor proteins (e.g., cardiac myosin) is a pharmacological high-wire act with a razor-thin therapeutic index. Direct sarcomere modulation carries severe mechanism-based toxicity: excessive inhibition leads to iatrogenic heart failure and dangerous drops in left ventricular ejection fraction (LVEF), while activation risks ischemia, arrhythmias, and troponin leaks. Even if the low-molecular-weight chemistry allows for a low absolute dose, the clinical reality demands rigorous, echo-guided dose titration and likely a strict REMS (Risk Evaluation and Mitigation Strategy) program. The pharmacodynamic risk of crashing the patient's hemodynamics vastly outweighs idiosyncratic liver toxicity in this class.",High,35,Razor-thin therapeutic index requiring complex echo-guided dosing; high risk of adverse LVEF events or failure to meet hard cardiovascular outcomes in broad populations.
vimseltinib,,Kinase,CSF1R,TGCT,Approved,2025.0,,,Approved,Oncology,,approved_control,CC1=C(C=CC(=N1)C2=CN=C(N(C2=O)C)NC(C)C)OC3=CC(=NC=C3)C4=CN(N=C4)C,CC1=C(C=CC(=N1)C2=CN=C(N(C2=O)C)NC(C)C)OC3=CC(=NC=C3)C4=CN(N=C4)C,TVGAHWWPABTBCX-UHFFFAOYSA-N,86267612,OK,65,"While the physicochemical metrics (MW ~420, cLogP ~2.5, HBD=1) offer a deceptive veneer of developability and potentially high LipE, this molecule is essentially a rigid, nitrogen-stuffed plank. The assembly of four heteroaromatic rings (pyrazinone, bis-pyridine, pyrazole) creates an extended planar topology that acts as a promiscuity magnet across the kinome hinge regions. I fully concur with the biological advisory: this 'flatland' architecture relies on brute-force shape complementarity rather than precise 3D vectors, practically guaranteeing off-target engagement (VEGFR/PDGFR) and compressing the therapeutic index. Metabolically, the electron-deficient rings resist direct CYP oxidation, but the isopropylamine is a glaring liability for rapid N-dealkylation. Furthermore, the high aromatic ring count (Ar=4) is a statistical harbinger for poor solubility and idiosyncratic DILI at the high doses required to maintain target suppression. Tox Summary: Not Clean (High risk of off-target kinase-mediated cardiotoxicity/myelosuppression and dose-dependent DILI; lacks classical reactive MBI alerts but fails on structural promiscuity).",Medium,"['Extended multi-heteroaromatic planar scaffold (Kinome promiscuity/Cardiotox risk)', 'Isopropylamine (Rapid N-dealkylation liability)']",0.6,"Favorable logP prevents immediate lipophilic-driven toxicity, but the high probability of off-target kinase engagement (e.g., VEGFR-driven hypertension) threatens early safety cohorts.",0.35,"Efficacy will likely be observed, but the therapeutic window will be razor-thin. Dose-limiting toxicities driven by the promiscuous flat scaffold will complicate proof-of-concept.",0.1,"Chronic dosing of a high-aromatic-ring-count molecule at >100mg/day invites idiosyncratic DILI, while inevitable gatekeeper mutations will destroy long-term durability.",0.021,CAUTION,"Kinases in oncology are a validated but treacherous landscape. The primary biological risk here is kinome promiscuity. This multi-heteroaromatic scaffold will inevitably bind off-target kinases (e.g., VEGFR, PDGFR), compressing the therapeutic index and driving dose-limiting toxicities like myelosuppression, hypertension, or cardiotoxicity. Furthermore, to maintain continuous target suppression and overcome high plasma protein binding, the clinical dose will likely push toward the >100mg/day threshold. This high hepatic burden, coupled with probable CYP-mediated clearance of the nitrogen-rich rings, elevates the risk of idiosyncratic DILI and severe DDIs. Finally, clinical durability is severely threatened by acquired gatekeeper mutations.",High,30,Therapeutic window compression due to off-target kinome toxicity and rapid emergence of acquired resistance mutations.
atrasentan,,GPCR,Endothelin A,IgA Nephropathy,Approved,2025.0,,,Approved,Nephrology,,approved_control,CCCCN(CCCC)C(=O)CN1C[C@@H]([C@H]([C@@H]1C2=CC=C(C=C2)OC)C(=O)O)C3=CC4=C(C=C3)OCO4,CCCCN(CCCC)C(=O)CN1CCH(CH(CH1C2=CC=C(C=C2)OC)C(=O)O)C3=CC4=C(C=C3)OCO4,MOTJMGVDPWRKOC-QPVYNBJUSA-N,159594,OK,85,"This NCE is a textbook example of how to engineer a DILI trap, fully validating the biological advisory's severe caution. The molecule suffers from a massive 'grease tax' violation via the N,N-dibutylacetamide moiety, which needlessly inflates cLogP (>4.5) and introduces a highly vulnerable metabolic sink for omega/omega-1 aliphatic oxidation. The pyrrolidine core is decorated with two critical structural alerts that act synergistically to destroy its safety profile. First, the benzodioxole (methylenedioxyphenyl) group is a notorious mechanism-based inhibitor (MBI) of CYP450 enzymes (particularly CYP3A4/2D6) via reactive carbene intermediate formation, guaranteeing severe drug-drug interactions. Second, the free carboxylic acid, when embedded in such a lipophilic framework, is a prime candidate for reactive acyl glucuronide formation. These glucuronides can undergo intramolecular rearrangement and irreversibly adduct to hepatic proteins. When combined with the high doses typically required to overcome the extensive plasma protein binding driven by the dibutyl grease, this molecule perfectly triggers the 'Rule of Two' for idiosyncratic DILI. For a chronic nephrology indication where hemodynamic stability is paramount, deploying a CYP-inactivating, protein-adducting lipophilic brick is clinical suicide. Tox Summary: Not Clean.",Low,"Benzodioxole (CYP450 MBI via carbene formation), Carboxylic acid (Reactive acyl glucuronidation risk), N,N-dibutylamide (High lipophilicity and omega-oxidation sink)",0.15,Severely penalized due to the dual presence of a CYP450 suicide inhibition motif (benzodioxole) and a high-risk DILI motif (lipophilic carboxylic acid). Phase 1 will likely reveal complex DDIs and early transaminase elevations.,0.35,"GPCRs in nephrology are validated targets, but achieving sustained receptor occupancy without triggering the hemodynamic liabilities (edema) noted in the biological advisory will be difficult given the erratic exposure expected from its metabolic profile.",0.04,Capped below 5% due to 'Hard Kill' structural alerts. A chronic nephrology drug cannot survive Phase 3 with a built-in mechanism for idiosyncratic hepatotoxicity and severe CYP-mediated DDIs.,0.0021,CAUTION,"Targeting GPCRs in nephrology (typically vascular or fibrotic modulators) is clinically validated but historically plagued by systemic hemodynamic liabilities, notably severe fluid retention, edema, and heart failure exacerbation. Structurally, this NCE is a clinical pharmacologist's nightmare: it contains a benzodioxole (methylenedioxyphenyl) moiety, a classic structural alert for mechanism-based CYP450 inhibition (suicide inhibition via reactive carbene formation), guaranteeing complex drug-drug interactions. Furthermore, the free carboxylic acid risks forming reactive acyl glucuronides. If the required clinical dose exceeds 30-50mg to achieve adequate receptor occupancy in the kidney, the combined liver burden of CYP-inhibition and reactive metabolites will inevitably trigger idiosyncratic DILI—a classic graveyard for this specific target class.",High,35,"High risk of idiosyncratic DILI due to benzodioxole-mediated CYP inhibition, compounded by target-mediated hemodynamic adverse events (fluid retention) requiring strict REMS protocols."
sepiapterin,,Cofactor Precursor,Sepiapterin Reductase,PKU,Approved,2025.0,,,Approved,Rare Disease,,approved_control,C[C@@H](C(=O)C1=NC2=C(NC1)N=C(NC2=O)N)O,CCH(C(=O)C1=NC2=C(NC1)N=C(NC2=O)N)O,VPVOXUSPXFPWBN-VKHMYHEASA-N,135398579,OK,78,"This molecule is a physicochemical nightmare of extreme polarity. With a molecular weight under 250 Da but boasting 5 hydrogen bond donors and a TPSA well over 120 Å², it is a 'polar rock'. Passive membrane permeability will be virtually zero, necessitating active transport or massive, gradient-driving clinical doses (>1 g/day) that guarantee severe osmotic GI toxicity, perfectly aligning with the biological advisory. Furthermore, the partially saturated, poly-nitrogenous bicyclic core is a glaring redox liability, highly susceptible to rapid auto-oxidation and endogenous enzymatic processing before it ever reaches the target tissue. While devoid of lipophilic grease, hERG pharmacophores, or classic CYP suicide inhibitors, its abysmal pharmacokinetic profile, rapid renal clearance, and the 20-point historical target stigma penalty doom it. Tox Summary: Not Clean (Osmotic/GI toxicity driven by extreme dose requirements and redox instability).",Low,"['Partially saturated poly-nitrogenous bicyclic core (redox liability)', 'Extreme polar motif (osmotic GI toxicity at required doses)']",0.7,"Endogenous-like polar molecules generally avoid acute systemic toxicity or hERG liabilities, but the massive doses required will trigger significant gastrointestinal adverse events (diarrhea, osmotic disturbances) early in Phase 1.",0.15,"Target engagement is severely compromised by abysmal passive permeability. Unless a highly specific and high-capacity active transporter exists for the target tissue, intracellular concentrations will fall short of efficacy thresholds.",0.05,"Chronic administration of massive doses of a highly polar, rapidly cleared compound is a compliance and commercial disaster. Long-term GI intolerance will drive high attrition rates.",0.00525,CAUTION,"Targeting a cofactor precursor for a rare metabolic disease offers strong genetic validation but introduces severe pharmacokinetic and dosing liabilities. This highly polar, low-molecular-weight entity will suffer from rapid renal clearance and abysmal passive membrane permeability. To achieve meaningful intracellular or CNS concentrations, massive clinical doses (likely >1000 mg/day) will be required to drive gradient-based uptake. While endogenous-like metabolites carry lower intrinsic DILI risk compared to xenobiotics, this extreme dose burden guarantees GI toxicity, osmotic disturbances, and potential metabolic bottlenecking. The clinical graveyard is full of cofactor therapies that demonstrated pristine in vitro rescue but failed to reach the target tissue in vivo.",Medium,20,High risk of Phase 3 efficacy failure due to poor tissue distribution (especially CNS) and dose-limiting tolerability at the massive doses required for target engagement.
